id,area_building,area_rtu,rtu_n,hp_list,hp
2552b4da-3263-4526-9d23-0bcc22fd7ba1,6829,131,4,"['2.40', '2.40', '2.40', '2.40']",9.6
50fb1db5-1b4a-4bd3-a5ea-d0c8dab6cc86,8112,124,5,"['1.50', '2.40', '2.40', '2.40', '2.40']",11.1
e93a0774-6e15-4c85-8a48-279063c5b471,27326,178,2,"['20.00', '2.90']",22.9
9645f48c-422e-4336-9a1f-f9dccd66a47e,45549,189,5,"['7.50', '0.33', '0.33', '0.50', '0.00']",8.66
d9986549-e7c3-426f-b3fc-719a278ea11d,6600,131,4,"['2.40', '2.40', '2.40', '2.40']",9.6
2769b1b3-e498-42ca-8600-b1653e998ab6,7941,80,2,"['3.70', '3.70']",7.4
c3042177-3434-4aec-bfc8-7875f6e4ef68,6343,97,3,"['2.40', '2.90', '2.40']",7.7
e35a160d-43c4-43f0-a957-008f5058fbb6,1246,36,1,['3.70'],3.7
322e1f66-7991-4693-9d78-f9dfa9e68f75,7908,90,4,"['2.90', '2.90', '2.90', '2.90']",11.6
1b98236b-c5fd-4696-9e05-ed61fe59a187,6311,81,4,"['2.40', '2.40', '2.40', '2.90']",10.1
fbb3b5cf-8c71-46d6-9d68-ef18b286a271,5526,42,1,['5.00'],5.0
c35d9bc8-511d-48f8-a12b-f1971c1647ea,44891,386,3,"['10.00', '0.00', '0.00']",10.0
7cb87740-4778-4bc3-b1f6-3f427b7853c5,69418,337,7,"['5.00', '0.00', '0.00', '15.00', '0.00', '0.00', '0.00']",20.0
9c5a1e91-5160-4836-9747-f1ea011f0b1e,6919,133,4,"['2.40', '2.40', '2.40', '2.40']",9.6
9bb6ea76-82b2-4ac8-8e5c-ae7e8540c0e4,73264,563,7,"['5.00', '5.00', '5.00', '3.00', '5.00', '7.50', '5.00']",35.5
612bb68a-927a-4e53-9fa2-323c6ede4622,7248,89,4,"['2.40', '2.40', '2.40', '2.40']",9.6
70efbd51-da96-443d-b0de-b5f9ebcf368b,44227,227,3,"['5.00', '7.50', '3.00']",15.5
ac27d2af-7e3c-416e-8a22-6b7d2de42c8b,23015,255,4,"['0.00', '7.50', '5.00', '5.00']",17.5
d0e0ae0f-efd1-47a6-b38b-170373189594,7803,140,4,"['2.40', '2.40', '2.40', '2.40']",9.6
cc2da9c5-1856-4eff-9b44-405ce7cdd538,7756,176,5,"['1.00', '2.40', '2.40', '2.40', '2.40']",10.6
ad5379a9-5304-4c20-894d-44487fa560eb,7402,122,5,"['2.40', '2.40', '2.40', '2.40', '2.40']",12.0
8e1bd5f4-f4a0-42a6-9ab3-0b35b866c6b1,7302,110,4,"['2.40', '2.40', '2.40', '2.40']",9.6
d00458d1-2efa-4587-82ea-9d9a341b6fc4,54587,187,5,"['2.00', '7.50', '0.33', '0.00', '0.00']",9.83
840ce469-f8d9-4261-abda-596ff8432934,30039,744,11,"['7.50', '7.50', '7.50', '0.75', '0.75', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00']",24.0
34e479ef-0873-40f8-a452-76c6a65ce0e9,8736,124,5,"['2.40', '2.40', '2.40', '2.40', '2.40']",12.0
